episode,action
105,"[124.111465,6.2860246,146.48413,9.9388275,0.4726509,44.87523,6.790021,129.55319,7.844881,0.25126407,6.370795,]"
106,"[134.9988,3.7043839,45.776215,11.417362,0.36037895,59.2879,1.2068045,94.328445,7.44624,0.84846485,5.846445,]"
107,"[,90.73071,6.621859,148.22856,10.953903,0.65621805,61.671288,3.014944,24.286888,10.340746,0.9427613,8.74035,]"
108,"[,96.55571,4.3077927,132.25772,11.132377,0.5808874,42.148506,5.9233265,121.118355,11.065749,0.8842602,7.1952295]"
109,"[128.93456,6.7524023,115.31694,9.941158,0.37224555,59.622044,3.3830886,142.12723,7.0484304,0.66624856,6.317412,]"
110,"[110.972015,5.7207584,141.76543,13.076961,0.25673,96.72724,6.4163914,56.49563,8.679683,0.5633179,7.406499,]"
111,"[,61.067352,6.917272,149.15334,14.684236,0.8641319,84.34819,2.8894246,110.09784,9.356992,0.760807,8.605558,]"
112,"[1.0125996e+02,3.2815962e+00,1.3948018e+02,8.6247883e+00,1.4491910e-01,6.1346153e+01,6.7623782e+00,1.4851904e+02,1.2641343e+01,4.1127330e-01,8.6542988e+00]"
113,"[,72.36647,4.6178575,114.23885,12.886046,0.31608862,116.76746,3.8617218,49.02562,5.778853,0.73340917,7.692105,]"
114,"[1.36992081e+02,4.14419031e+00,1.35272675e+01,6.80638695e+00,1.17724836e-01,4.89103012e+01,6.56322575e+00,8.65857849e+01,8.21758366e+00,5.32362103e-01,8.53496361e+00]"
115,"[,39.084904,5.717577,61.29519,9.189836,0.7763292,42.635902,3.143356,126.28688,7.726677,0.19081852,5.7963567,]"
116,"[,66.2985,1.1549752,136.00781,7.817118,0.14905882,126.26711,5.727894,110.37996,11.128316,0.6130074,4.3219404,]"
117,"[112.47768,3.989435,123.50154,10.145614,0.5527433,73.62454,4.002045,131.36389,9.480665,0.8267988,7.4236636]"
118,"[139.74847,6.035033,138.23999,13.522345,0.8741853,30.476826,6.9124084,70.39877,12.444124,0.45450574,6.9222636,]"
119,"[,63.561707,5.702305,148.14471,14.378179,0.38578647,41.91953,5.902408,86.453186,5.8818836,0.4004521,7.011876,]"
120,"[118.208824,6.5091176,120.46547,12.712024,0.45465785,111.39323,6.0488076,136.80902,8.312586,0.8873902,8.326982,]"
