episode,state
323,"[49.8380113, 55.3656944]"
324,"[61.0128927, 63.7884485]"
325,"[57.4185904, 62.7966675]"
326,"[44.2354924, 44.4764746]"
327,"[111.745299, 113.762693]"
328,"[71.6790094, 65.7285446]"
329,"[57.4461074, 56.7194982]"
330,"[54.2573142, 53.7059528]"
331,"[53.6901427, 59.9360741]"
332,"[50.5376874, 46.1781061]"
333,"[56.4518743, 58.4074373]"
334,"[54.3943384, 80.3632539]"
335,"[62.7690008, 59.0909856]"
336,"[79.9523893, 70.0188952]"
337,"[87.7489969, 52.3281701]"
338,"[59.743448, 56.3719768]"
339,"[50.0808464, 55.0992728]"
340,"[42.7406444, 43.7226874]"
341,"[47.67463, 57.6721948]"
342,"[42.7484304, 45.578965]"
343,"[64.4871776, 63.0986596]"
344,"[95.3832601, 100.662977]"
345,"[54.9265716, 56.5987772]"
346,"[44.6719538, 47.5805871]"
347,"[85.0375278, 98.7032209]"
348,"[109.977073, 110.149538]"
349,"[64.8652519, 65.819472]"
350,"[133.677909, 132.309749]"
351,"[90.6776044, 82.1956306]"
352,"[79.5613263, 51.0389473]"
353,"[137.359162, 127.503399]"
354,"[102.969648, 90.050325]"
355,"[61.7497375, 65.0148434]"
356,"[76.1985567, 54.2871681]"
357,"[43.1786894, 44.3913937]"
358,"[64.3193224, 51.4278962]"
359,"[53.6257706, 53.3015559]"
360,"[73.3881455, 83.9890541]"
361,"[72.6745056, 63.2157932]"
362,"[76.0351277, 68.5201983]"
363,"[55.5050459, 54.3935501]"
364,"[46.6819466, 46.3447099]"
365,"[69.0748727, 48.8887605]"
366,"[51.2039516, 52.7401134]"
367,"[75.8563896, 77.24081]"
368,"[64.7398879, 53.535748]"
369,"[50.4674955, 50.6008284]"
370,"[59.131674, 57.576508]"
371,"[46.5683249, 45.5434728]"
372,"[41.7629284, 46.7332313]"
373,"[51.2284403, 50.4457979]"
374,"[57.4363221, 54.2030914]"
375,"[87.345012, 79.9556599]"
376,"[73.4990064, 74.5793646]"
377,"[78.9492665, 61.8141624]"
378,"[51.3149873, 52.0704524]"
379,"[54.6431134, 49.0741859]"
380,"[58.9885084, 56.312997]"
381,"[46.0276871, 43.1188126]"
382,"[43.5028636, 43.7627857]"
383,"[60.8921567, 58.0752102]"
384,"[86.3982565, 66.4889604]"
385,"[65.6403488, 74.5773451]"
386,"[80.6045222, 76.2468283]"
387,"[53.6163121, 57.5784291]"
388,"[51.9315965, 54.3711782]"
389,"[126.276475, 65.0467597]"
390,"[51.8544471, 52.4208715]"
391,"[47.6846454, 50.1354795]"
392,"[47.2560856, 48.7344467]"
393,"[57.4026619, 58.4002816]"
394,"[56.4886423, 50.1267628]"
395,"[44.4458206, 55.6083151]"
396,"[46.9145256, 45.1238874]"
397,"[74.6834359, 77.7426798]"
398,"[53.4906693, 53.8065398]"
399,"[57.6023258, 54.3514114]"
400,"[55.1862681, 57.2744635]"
401,"[44.752671, 44.996639]"
402,"[48.6137975, 48.4087261]"
403,"[42.8837856, 46.7513599]"
404,"[59.8840371, 48.062609]"
405,"[44.6242533, 44.2636761]"
406,"[83.9395167, 53.2129663]"
407,"[67.9821644, 73.8054858]"
408,"[55.3845458, 56.0957062]"
409,"[43.4724751, 41.1228472]"
410,"[53.9935484, 47.3437344]"
411,"[46.148436, 45.7563738]"
412,"[48.0100931, 49.8482098]"
413,"[45.8179496, 47.1663357]"
414,"[51.533622, 54.2940181]"
415,"[57.1566524, 58.3539127]"
416,"[89.1392824, 50.3560847]"
417,"[59.0899997, 59.2470429]"
418,"[52.332807, 54.4386465]"
419,"[46.9453708, 42.6503089]"
420,"[61.5844637, 61.6214429]"
421,"[76.6203925, 57.1105539]"
422,"[49.5314938, 54.564976]"
423,"[64.3926618, 60.1813107]"
424,"[88.387555, 91.8431985]"
425,"[49.2109595, 49.2194134]"
426,"[47.5824157, 45.8229889]"
427,"[48.2475431, 49.5375544]"
428,"[46.3204089, 42.1716243]"
429,"[44.4907025, 43.1841025]"
430,"[45.2835133, 43.2902064]"
431,"[65.8565588, 66.0093102]"
432,"[69.432352, 78.0738889]"
433,"[53.0058802, 54.4137879]"
434,"[49.602505, 49.8151814]"
435,"[55.7571743, 56.0243788]"
436,"[50.3018247, 55.1907131]"
437,"[72.0589989, 72.3366223]"
438,"[76.286045, 81.5849827]"
439,"[51.2932197, 51.8705057]"
440,"[76.7725999, 75.4158062]"
441,"[50.9412102, 51.5279701]"
442,"[50.0093498, 50.4259687]"
443,"[73.3527828, 74.5013905]"
444,"[76.8679989, 81.7046166]"
445,"[90.1051336, 90.2962698]"
446,"[52.3914696, 51.8678078]"
447,"[42.0722569, 41.5997371]"
448,"[70.0763917, 61.3246285]"
449,"[57.7851306, 61.9131728]"
450,"[51.6748521, 52.6202063]"
451,"[44.3617606, 43.227729]"
452,"[62.9955548, 63.7615189]"
453,"[87.0742466, 63.7052665]"
454,"[94.7367157, 107.645424]"
